ACSSF,WA,040,00,0000001,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04000US53,"Washington",,,
ACSSF,WA,040,01,0000002,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,04001US53,"Washington -- Urban",,,
ACSSF,WA,040,43,0000003,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,04043US53,"Washington -- Rural",,,
ACSSF,WA,040,A0,0000004,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US53,"Washington -- In metropolitan or micropolitan statistical area",,,
ACSSF,WA,040,C0,0000005,,,,,53,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C0US53,"Washington -- In metropolitan statistical area",,,
ACSSF,WA,040,C1,0000006,,,,,53,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Y,,,,,040C1US53,"Washington -- In metropolitan statistical area -- in principal city",,,
ACSSF,WA,040,C2,0000007,,,,,53,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C2US53,"Washington -- In metropolitan statistical area -- not in principal city",,,
ACSSF,WA,040,E0,0000008,,,,,53,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E0US53,"Washington -- In micropolitan statistical area",,,
ACSSF,WA,040,E1,0000009,,,,,53,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,Y,,,,,040E1US53,"Washington -- In micropolitan statistical area -- in principal city",,,
ACSSF,WA,040,E2,0000010,,,,,53,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E2US53,"Washington -- In micropolitan statistical area -- not in principal city",,,
ACSSF,WA,040,G0,0000011,,,,,53,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,040G0US53,"Washington -- Not in metropolitan or micropolitan statistical area",,,
ACSSF,WA,040,H0,0000012,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040H0US53,"Washington -- Not in metropolitan statistical area",,,
ACSSF,WA,050,00,0000013,,,,,53,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53001,"Adams County, Washington",,,
ACSSF,WA,050,00,0000014,,,,,53,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53003,"Asotin County, Washington",,,
