ACSSF,2012e5,wa,000,0004,0004367,3508,3344,1,104,29,10,0,20,8,12,104,104,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,3364,1,104,29,22,8,3508,3488,3344,1,104,29,10,0,20,8,12,20,0,0,0,0,20,0,0
ACSSF,2012e5,wa,000,0004,0004368,4513,4047,31,33,292,0,0,110,53,57,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,292,76,0,0,136,29,0,0,0,0,0,0,0,0,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4157,31,84,298,0,53,4513,4403,4047,31,33,292,0,0,110,53,57,110,0,51,6,0,53,0,0
ACSSF,2012e5,wa,000,0004,0004369,4123,3521,143,48,216,0,41,154,0,154,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13,0,0,0,0,0,0,0,0,216,101,0,0,100,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3663,168,158,289,0,60,4123,3969,3521,143,48,216,0,41,154,0,154,93,0,37,44,0,12,61,0
ACSSF,2012e5,wa,000,0004,0004370,5630,4414,20,85,658,83,0,370,185,185,85,54,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,658,196,0,0,113,0,0,0,7,0,0,0,0,0,14,0,328,0,0,83,83,17,66,0,0,0,0,0,0,0,0,0,0,0,4697,20,267,748,83,197,5630,5260,4414,20,85,658,83,0,370,185,185,358,0,109,64,0,185,12,0
ACSSF,2012e5,wa,000,0004,0004371,5860,4906,149,0,132,0,325,348,96,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,15,2,0,0,43,0,0,0,0,0,0,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5254,191,58,284,0,431,5860,5512,4906,149,0,132,0,325,348,96,252,338,42,58,142,0,96,10,0
ACSSF,2012e5,wa,000,0004,0004372,3806,3261,156,53,106,0,192,38,0,38,53,46,0,0,17,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,106,0,0,0,16,40,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3299,156,67,130,0,192,3806,3768,3261,156,53,106,0,192,38,0,38,38,0,14,24,0,0,0,0
ACSSF,2012e5,wa,000,0004,0004373,2962,2481,63,6,52,17,132,211,13,198,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,17,17,13,0,0,4,0,0,0,0,0,0,0,0,0,2681,85,66,128,115,145,2962,2751,2481,63,6,52,17,132,211,13,198,164,22,60,18,0,64,47,0
ACSSF,2012e5,wa,000,0004,0004374,4389,3618,75,61,23,0,336,276,0,276,61,52,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3881,75,319,81,0,336,4389,4113,3618,75,61,23,0,336,276,0,276,249,0,218,18,0,13,27,0
ACSSF,2012e5,wa,000,0004,0004375,2120,1825,86,0,30,0,99,80,54,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,11,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,86,2,54,0,153,2120,2040,1825,86,0,30,0,99,80,54,26,80,0,2,24,0,54,0,0
ACSSF,2012e5,wa,000,0004,0004376,2782,2532,14,137,42,0,30,27,27,0,137,119,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,18,0,0,0,18,0,0,0,42,0,0,0,18,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,14,137,42,0,57,2782,2755,2532,14,137,42,0,30,27,27,0,27,0,0,0,0,27,0,0
